,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
0,KEGG,KEGG:05171,Coronavirus disease - COVID-19,6.385307708070983e-20,true,Coronavirus disease - COVID-19,231,134,32,8484,0.23880597014925373,0.13852813852813853,query_1,KEGG:00000
1,KEGG,KEGG:03010,Ribosome,2.187650568379431e-19,true,Ribosome,153,134,27,8484,0.20149253731343283,0.17647058823529413,query_1,KEGG:00000
4,KEGG,KEGG:05131,Shigellosis,0.0006588826437625171,true,Shigellosis,246,134,15,8484,0.11194029850746269,0.06097560975609756,query_1,KEGG:00000
5,KEGG,KEGG:05203,Viral carcinogenesis,0.001493221295633804,true,Viral carcinogenesis,201,134,13,8484,0.09701492537313433,0.06467661691542288,query_1,KEGG:00000
6,KEGG,KEGG:05166,Human T-cell leukemia virus 1 infection,0.0035245757088750314,true,Human T-cell leukemia virus 1 infection,218,134,13,8484,0.09701492537313433,0.05963302752293578,query_1,KEGG:00000
2,KEGG,KEGG:05135,Yersinia infection,0.00013111408489208427,true,Yersinia infection,136,134,12,8484,0.08955223880597014,0.08823529411764706,query_1,KEGG:00000
3,KEGG,KEGG:04218,Cellular senescence,0.0005197235991557718,true,Cellular senescence,155,134,12,8484,0.08955223880597014,0.07741935483870968,query_1,KEGG:00000
7,KEGG,KEGG:05167,Kaposi sarcoma-associated herpesvirus infection,0.004979025411969446,true,Kaposi sarcoma-associated herpesvirus infection,194,134,12,8484,0.08955223880597014,0.061855670103092786,query_1,KEGG:00000
9,KEGG,KEGG:05130,Pathogenic Escherichia coli infection,0.025384790991723086,true,Pathogenic Escherichia coli infection,197,134,11,8484,0.08208955223880597,0.05583756345177665,query_1,KEGG:00000
10,KEGG,KEGG:05205,Proteoglycans in cancer,0.03574118325310776,true,Proteoglycans in cancer,205,134,11,8484,0.08208955223880597,0.05365853658536585,query_1,KEGG:00000
11,KEGG,KEGG:03040,Spliceosome,0.03854285140387464,true,Spliceosome,174,134,10,8484,0.07462686567164178,0.05747126436781609,query_1,KEGG:00000
8,KEGG,KEGG:05416,Viral myocarditis,0.005169665143178493,true,Viral myocarditis,63,134,7,8484,0.05223880597014925,0.1111111111111111,query_1,KEGG:00000
